Keine_Ahnung KekW WidePeepoHappy OmegaLUL HeheXD
4,546 163,165142857143 587,727 8,86 182,1646
4,569 163,270142857143 587,9886 8,72 182,24
4,655 163,380142857143 588,102 8,57 182,3052
4,68 163,489571428572 588,3478 8,45 182,3358
4,715 163,603714285715 588,463 8,27 182,3626
4,757 163,715 588,6094 8,13 182,3762
4,794 163,82 588,793 7,97 182,3874
4,804 163,940714285715 589,045 7,8 182,436
4,817 164,046714285715 589,2696 7,65 182,477
4,893 164,166142857143 589,4464 7,52 182,502
4,94 164,278571428572 589,5702 7,39 182,526
4,946 164,382857142857 589,6826 7,24 182,5792
5,017 164,504714285715 589,8442 7,1 182,6208
5,08 164,605571428572 590,0342 6,95 182,6768
5,111 164,720285714286 590,3306 6,77 182,6952
5,118 164,820714285715 590,5326 6,62 182,743
5,172 164,923571428572 590,8078 6,49 182,8036
5,252 165,026 590,9148 6,35 182,8994
5,342 165,145285714286 591,0586 6,23 182,9738
5,355 165,266571428572 591,1988 6,11 183,0478
5,427 165,376 591,4642 5,93 183,1348
5,507 165,488857142857 591,6256 5,81 183,152
5,51 165,604 591,8318 5,7 183,2464
5,568 165,706571428572 592,1272 5,52 183,3056
5,62 165,806571428572 592,425 5,36 183,3704
5,663 165,916428571429 592,6684 5,26 183,4662
5,673 166,034428571429 592,8274 5,08 183,5388
5,683 166,141 592,934 5,08 183,6166
5,704 166,258571428572 593,1834 5,21 183,709
5,725 166,366142857143 593,3034 5,34 183,731
5,726 166,487857142857 593,4718 5,5 183,7582
5,797 166,597571428572 593,617 5,62 183,8062
5,832 166,716714285715 593,7592 5,75 183,904
5,853 166,825285714286 594,002 5,89 183,9886
5,88 166,927142857143 594,2024 6 184,0286
5,951 167,032714285715 594,4244 6,16 184,074
5,959 167,140428571429 594,6028 6,35 184,1682
5,97 167,250857142857 594,8284 6,51 184,2662
6,036 167,352571428572 595,0884 6,61 184,3122
6,07 167,465571428572 595,2708 6,75 184,3852
6,152 167,579428571429 595,5064 6,89 184,4722
6,245 167,690142857143 595,6542 7,02 184,525
6,29 167,808428571429 595,8626 7,2 184,5652
6,29 167,918857142857 596,0124 7,33 184,6528
6,363 168,035571428572 596,1302 7,47 184,6776
6,382 168,141857142857 596,3204 7,64 184,7768
6,394 168,260428571429 596,4618 7,83 184,8382
6,439 168,375142857143 596,7414 7,94 184,8484
6,501 168,480285714286 596,9006 8,05 184,9052
6,584 168,592 597,1928 8,22 184,9508
6,67 168,699428571429 597,2956 8,37 185,0474
6,675 168,811285714286 597,4428 8,5 185,1166
6,739 168,912 597,6498 8,63 185,1584
6,8 169,025714285715 597,8616 8,75 185,2478
6,833 169,138428571429 597,9906 8,88 185,279
6,882 169,248714285715 598,2788 9,07 185,3192
6,948 169,355857142857 598,526 9,2 185,3406
7,026 169,474142857143 598,7594 9,3 185,3968
7,117 169,583714285715 598,9734 9,44 185,439
7,175 169,699142857143 599,2644 9,61 185,5308
7,195 169,820571428572 599,5032 9,79 185,5466
7,223 169,924857142857 599,7272 9,92000000000001 185,5984
7,281 170,038 599,8902 10,11 185,698
7,313 170,144571428572 600,0358 10,23 185,7594
7,391 170,265571428572 600,2436 10,4 185,8568
7,48 170,365714285715 600,4832 10,5 185,925
7,559 170,476857142857 600,6124 10,6 185,9468
7,627 170,590714285715 600,8932 10,72 186,0328
7,685 170,695285714286 601,0658 10,87 186,126
7,715 170,797857142857 601,2816 11,01 186,1392
7,743 170,908285714286 601,53 11,13 186,1606
7,767 171,017857142857 601,8186 11,31 186,186
7,794 171,128714285715 602,0352 11,47 186,2562
7,801 171,238714285715 602,1958 11,65 186,294
7,87 171,347285714286 602,4932 11,78 186,393
7,926 171,460285714286 602,7902 11,96 186,4626
8,003 171,569714285715 602,9398 12,15 186,5048
8,035 171,686571428572 603,2246 12,33 186,5946
8,059 171,801571428572 603,3334 12,43 186,656
8,067 171,915285714286 603,5748 12,61 186,7424
8,152 172,033142857143 603,8186 12,72 186,7836
8,241 172,143857142857 603,9932 12,84 186,8438
8,305 172,253714285715 604,117 12,95 186,8896
8,389 172,359142857143 604,334 13,07 186,931
8,419 172,470714285715 604,518 13,26 186,9464
8,419 172,578428571429 604,8012 13,43 187,038
8,513 172,697857142857 604,921399999999 13,62 187,121
8,608 172,813428571429 605,042999999999 13,78 187,1728
8,691 172,922142857143 605,281599999999 13,91 187,2042
8,77 173,034571428572 605,551399999999 14,07 187,2798
8,853 173,135428571429 605,733199999999 14,22 187,3386
8,885 173,244142857143 605,982799999999 14,32 187,3794
8,939 173,356571428572 606,197799999999 14,45 187,445
9,015 173,464142857143 606,326399999999 14,58 187,4948
9,028 173,567142857143 606,613199999999 14,76 187,5512
9,118 173,685428571429 606,732399999999 14,93 187,585
9,161 173,796428571429 606,881399999999 14,93 187,6016
9,25 173,906857142857 607,094399999999 14,79 187,6558
9,305 174,028 607,200399999999 14,66 187,7488
9,331 174,146 607,374399999999 14,49 187,8018
9,375 174,255285714286 607,567599999999 14,37 187,8656
9,443 174,357571428572 607,782799999999 14,27 187,9324
9,491 174,464142857143 607,885799999999 14,09 188,0238
9,494 174,571285714286 608,087199999999 13,97 188,0984
9,522 174,688428571429 608,329199999999 13,79 188,188
9,538 174,790857142858 608,554399999999 13,6 188,2206
9,546 174,901 608,732599999999 13,48 188,3042
9,547 175,001714285715 608,835799999999 13,34 188,3488
9,626 175,121571428572 609,044999999999 13,17 188,3594
9,651 175,242285714286 609,188399999999 13,03 188,4488
9,744 175,349142857143 609,312799999999 12,84 188,4764
9,81 175,464714285715 609,527599999999 12,71 188,525
9,867 175,575285714286 609,760999999999 12,54 188,584
9,868 175,695142857143 610,012999999999 12,35 188,6742
9,868 175,801857142857 610,120599999999 12,17 188,7676
9,905 175,907 610,402799999999 11,99 188,834
9,927 176,026571428572 610,547399999999 11,89 188,8722
